gene_id	WT1	WT2	WT3	Mutant1	Mutant2	Mutant3
CDIFF6300_004660	6	9	16	19	18	5
CDIFF6300_004670	22	64	76	116	64	35
CDIFF6300_004680	180	237	488	353	240	156
CDIFF6300_004690	0	0	0	0	0	0
CDIFF6300_004700	0	0	0	0	0	0
CDIFF6300_004710	0	0	0	0	0	0
CDIFF6300_004720	0	0	0	0	0	0
CDIFF6300_004730	0	0	0	0	0	0
CDIFF6300_004740	0	0	0	0	0	0
CDIFF6300_004750	0	0	0	0	0	0
CDIFF6300_004760	0	0	0	0	0	0
CDIFF6300_004770	0	0	0	0	0	0
CDIFF6300_004780	0	0	0	0	0	0
CDIFF6300_004790	0	0	0	0	0	0
CDIFF6300_004800	0	0	0	0	0	0
CDIFF6300_004810	0	0	0	0	0	0
CDIFF6300_004820	0	0	0	0	0	0
CDIFF6300_004830	0	0	0	0	0	0
CDIFF6300_004840	0	0	0	0	0	0
CDIFF6300_004850	0	0	0	0	0	0
CDIFF6300_004860	0	0	0	0	0	0
CDIFF6300_004870	0	0	0	0	0	0
CDIFF6300_004880	0	0	0	0	0	0
CDIFF6300_004890	0	0	0	0	0	0
CDIFF6300_004900	0	0	0	0	0	0
CDIFF6300_004910	0	0	0	0	0	0
CDIFF6300_004920	0	0	0	0	0	0
CDIFF6300_004930	0	0	0	0	0	0
CDIFF6300_004940	0	0	0	0	0	0
CDIFF6300_004950	0	0	0	0	0	0
CDIFF6300_004960	0	0	0	0	0	0
CDIFF6300_004970	0	0	0	0	0	0
CDIFF6300_004980	0	0	0	0	0	0
CDIFF6300_004990	0	0	0	0	0	0
CDIFF6300_005000	0	0	0	0	0	0
CDIFF6300_005010	0	0	0	0	0	0
CDIFF6300_005020	38	58	88	174	145	108
CDIFF6300_005030	62	118	209	302	252	147
CDIFF6300_005040	29	71	104	206	151	102
CDIFF6300_005050	0	0	1	2	0	0
CDIFF6300_005060	22	51	74	61	50	30
CDIFF6300_005070	234	418	825	576	486	322
CDIFF6300_005080	88	230	344	352	287	205
CDIFF6300_005090	74400	136483	280254	116895	83878	46556
CDIFF6300_005100	52499	112124	180934	132637	96555	66575
CDIFF6300_005110	59031	126205	184061	129577	90196	71624
CDIFF6300_005120	102408	216968	324577	228236	156622	120809
CDIFF6300_005130	84546	183333	267230	203157	140741	114149
CDIFF6300_005140	135231	275247	426816	292139	203503	164697
CDIFF6300_005150	101055	216045	327447	233259	178565	148502
